session_id,player_id,requested_seed,effective_seed,outcome,turn_count,remaining_fuel,base_visit_count,base_refuel_count,resource_visit_count,resource_refuel_count,rift_attempts,route_decision_score,information_score,fuel_tension_score,supply_choice_score,rift_fairness_score,readability_score,defeat_clarity_score,observation_range_score,resource_reveal_score,rift_asymmetry_score,base_return_value_score,base_loop_risk_score,notes,log_path
manual-001,kkismd,1,1,WON,14,9,1,1,0,0,0,5,5,1,3,3,5,5,5,5,1,3,5,最も迷った局面: なし / Bへ戻ることを検討したか、その理由: なし / Rを使う価値を感じたか: なし / 断層で印象に残った場面: なし / ルールまたは表示で分かりにくかった点: なし,.tmp/galactic_exodus/manual/seed-001.json
manual-002,kkismd,2,2,WON,25,7,1,1,1,1,3,5,2,5,5,1,2,5,5,5,1,5,5,最も迷った局面: 断層でBに戻れずAに入る必要があった / Bへ戻ることを検討したか、その理由: ない / Rを使う価値を感じたか: 遠回りするためにRに寄ったが戻るほ��期待より回復しなかったので遠回りできなかった / 断層で印象に残った場面: Bに入ろうとして断層��に阻まれたところ / ルールまたは表示で分かりにくかった点: 断層があると分かっても地図に反映されないところ,.tmp/galactic_exodus/manual/seed-002.json
manual-003,kkismd,3,3,WON,22,9,2,2,0,0,0,5,5,5,5,3,5,5,5,3,3,5,5,最も迷った局面: 行けるところに.がなかったとき / Bへ戻ることを検討したか、その理由: Aと@を避けて北回りのルートを探すことにしたとき / Rを使う価値を感じたか: Rの文字を見落としていた / 断層で印象に残った場面: なし / ルールまたは表示で分かりにくかった点: アルファベットだと瞬間的に見落としてしまう,.tmp/galactic_exodus/manual/seed-003.json
manual-004,kkismd,4,4,WON,24,10,2,2,2,2,4,5,5,5,5,2,2,5,5,5,1,5,5,最も迷った局面: まわりがAや@で囲まれているとき / Bへ戻ることを検討したか、その理由: なし / Rを使う価値を感じたか: なし / 断層で印象に残った場面: なし / ルールまたは表示で分かりにくかった点: 断層,.tmp/galactic_exodus/manual/seed-004.json
manual-005,kkismd,5,5,WON,15,13,1,1,1,1,1,5,5,5,5,3,2,5,5,5,1,3,5,最も迷った局面: なし / Bへ戻ることを検討したか、その理由: なし / Rを使う価値を感じたか: なし / 断層で印象に残った場面: なし / ルールまたは表示で分かりにくかった点: なし,.tmp/galactic_exodus/manual/seed-005.json
manual-006,kkismd,6,6,LOST_FUEL,32,0,3,3,4,2,5,5,5,5,2,2,1,1,5,5,1,5,5,最も迷った局面: 画面にRが表示されているが補給済みとわからなかった / Bへ戻ることを検討したか、その理由: ルートを変えるためいったん引き返した / Rを使う価値を感じたか: あり / 断層で印象に残った場面: RやBに行きたい時その方向がブロックされる / ルールまたは表示で分かりにくかった点: 消費�ずみRと断層,.tmp/galactic_exodus/manual/seed-006.json
manual-007,kkismd,7,7,WON,19,5,1,1,1,1,3,5,5,5,5,2,2,5,5,5,2,5,5,最も迷った局面: なし / Bへ戻ることを検討したか、その理由: ルートを変えるため / Rを使う価値を感じたか: あり / 断層で印象に残った場面: 遠回りになってしまった / ルールまたは表示で分かりにくかった点: 断層,.tmp/galactic_exodus/manual/seed-007.json
manual-008,kkismd,8,8,WON,20,9,1,1,1,1,2,5,5,5,5,3,3,5,5,5,2,5,5,最も迷った局面: なし / Bへ戻ることを検討したか、その理由: なし / Rを使う価値を感じたか: あり / 断層で印象に残った場面: なし / ルールまたは表示で分かりにくかった点: なし,.tmp/galactic_exodus/manual/seed-008.json
manual-009,kkismd,9,9,WON,22,5,1,1,2,2,2,1,1,1,1,2,2,1,5,5,1,3,5,最も迷った局面: なし / Bへ戻ることを検討したか、その理由: 回り道だった / Rを使う価値を感じたか: あり / 断層で印象に残った場面: なし / ルールまたは表示で分かりにくかった点: 断層,.tmp/galactic_exodus/manual/seed-009.json
manual-010,kkismd,10,10,WON,21,4,1,1,0,0,1,5,5,5,5,2,2,5,5,5,1,5,5,最も迷った局面: なし / Bへ戻ることを検討したか、その理由: 燃料が足りなかったとき / Rを使う価値を感じたか: なし / 断層で印象に残った場面: なし / ルールまたは表示で分かりにくかった点: 断層,.tmp/galactic_exodus/manual/seed-010.json
