finding_id,question_id,category,candidate_classification,summary,evidence_type,evidence_ref,case_id,policy,cost_mode,impact,suggested_next_action,notes
P2SRS-001,Q1,ROUTING,NO_CHANGE,"SRS移動は価値Objectへの寄り道と出口直行の分岐を実際に生んでいる。Phase 2Eでは探索価値あり前提でdecision整理に進める。","manual+automated","experiments/galactic_exodus/results/prototype_manual_sessions.csv;experiments/galactic_exodus/srs/results/policy_runs.csv;experiments/galactic_exodus/srs/fixtures/resource_cache_single_9x9.json","resource-cache-first-visit;salvage-placeholder-first-visit","OBJECT_GREEDY;EXPLORE_THEN_EXIT","TURN_ONLY","LRS側でSRSへ入る価値が0ではないことを裏づける。","Q1は採否判断ではなく、価値Object detourを前提にdecision logへ引き渡す。","manualではroute_decision_score平均4.6、base_return_value_score平均4.4。automatedではOBJECT_GREEDYのobject_acquisition_rate=0.625。"
P2SRS-002,Q2,PACE,BLOCKER,"9x9 baselineのp90 SRS turnは17で許容範囲だが、11x11比較データが無く区画長の採否はまだ固定できない。","automated","experiments/galactic_exodus/srs/results/policy_summary.json;experiments/galactic_exodus/srs/phase2_questions.csv","normal-turn-only-first-visit;salvage-placeholder-first-visit","EXPLORE_THEN_EXIT;OBJECT_GREEDY","TURN_ONLY","盤面サイズ確定を先送りするとQ10の必須化判断にも波及する。","11x11 caseとmulti-sector sequenceを追加してQ2/Q10を同時に再評価する。","現状データは9x9のみ。issue #1163では『9x9は許容、11x11未評価』を明示する必要がある。"
P2SRS-003,Q3,VARIETY,ADJUSTMENT,"EXPLORE_THEN_EXITは通常・NEBULAで17 turnかけて出口へ到達しており、単純直行より探索寄りの挙動を見せる。一方でcase数が少なく経路多様性の断定には不足がある。","manual+automated","experiments/galactic_exodus/results/prototype_manual_sessions.csv;experiments/galactic_exodus/srs/results/policy_runs.csv","normal-turn-only-first-visit;nebula-local-3x3-first-visit","EXPLORE_THEN_EXIT","TURN_ONLY","warp到達までの道中が毎回同じになりすぎるとSRSのテンポ問題へ直結する。","Phase 2E decisionでは単調さを懸念事項として残し、11x11やmulti-route fixture追加をfollow-upへ送る。","manualのfuel_tension_score平均4.2、supply_choice_score平均4.1は判断余地を示すが、phase2専用のmonotony scoreは未取得。"
P2SRS-004,Q4,VALUE_OBJECT,NO_CHANGE,"BASEのSTATIONとRESOURCE_CACHEは内部到達の意味を持っている。少なくとも『寄っても無意味』ではない。","manual+automated","experiments/galactic_exodus/results/prototype_manual_sessions.csv;experiments/galactic_exodus/srs/results/policy_summary.json;experiments/galactic_exodus/srs/fixtures/station_refuel_9x9.json","base-station-first-visit;resource-cache-first-visit;resource-cache-revisit","OBJECT_GREEDY","SHARED_FUEL;TURN_ONLY","B/Rの存在意義を維持できるため、LRS上のsector価値付けを継続できる。","STATIONはreward量固定、RESOURCE_CACHEは表示改善込みでdecision logへ渡す。","RESOURCE exit_rate=1.0/resource_use_rate=0.666667。BASEではOBJECT_GREEDYのみstation_used=1。manualでもR利用価値への言及が複数ある。"
P2SRS-005,Q5,NORMAL_OBJECT,PHASE_LATER,"NORMAL sectorのSALVAGE配置が探索価値をどこまで押し上げるかは、現状だとOBJECT_GREEDY 1件の取得成功しかなく、配置量の採否判断には不足がある。","automated","experiments/galactic_exodus/srs/results/policy_runs.csv;experiments/galactic_exodus/srs/fixtures/salvage_placeholder_9x9.json","normal-turn-only-first-visit;salvage-placeholder-first-visit","OBJECT_GREEDY","TURN_ONLY","NORMALに価値Objectを増やす判断を急ぐとテンポ悪化やノイズ導入のリスクがある。","SALVAGEはplaceholder維持のまま、配置量やspawn profileは後続spec/follow-upで扱う。","normal sectorのsalvage取得は1/9。RIFT fixtureではplaceholder取得動作だけ確認できる。"
P2SRS-006,Q6,RIFT,ADJUSTMENT,"RIFT blocked edgeの機械的な誤作動は見られないが、自然さ・理解しやすさの人手評価はまだ弱い。表示・説明の補助は必要。","manual+automated","experiments/galactic_exodus/results/prototype_manual_sessions.csv;experiments/galactic_exodus/srs/results/policy_summary.json;experiments/galactic_exodus/srs/fixtures/rift_blocked_n_9x9.json","salvage-placeholder-first-visit","EXIT_GREEDY;EXPLORE_THEN_EXIT;OBJECT_GREEDY","TURN_ONLY","RIFT説明不足は誤った期待でのexit試行や再訪判断ミスにつながる。","decision logではblocked edge仕様自体は維持し、表現改善をADJUSTMENTとして別記する。","policy上のblocked_edge_attempt_rate=0.0。manualでは断層の分かりにくさが繰り返し指摘され、rift_fairness_score平均2.3。"
P2SRS-007,Q7,ORIENTATION,NO_CHANGE,"warp flagと出入口方向の対応は現行fixtureとpolicy runの範囲では破綻していない。方角対応ルールは維持候補。","manual+automated","experiments/galactic_exodus/srs/results/policy_runs.csv;experiments/galactic_exodus/srs/fixtures/warp_exit_s_9x9.json;experiments/galactic_exodus/srs/fixtures/move_to_known_9x9.json","base-station-first-visit;resource-cache-first-visit;salvage-placeholder-first-visit","EXIT_GREEDY;EXPLORE_THEN_EXIT","TURN_ONLY;SHARED_FUEL","LRS/SRSの接続仕様を早めに固められる。","Q7はNO_CHANGE候補として#1163へ渡し、corner multi-flagや11x11はreference fixture側で補完する。","policy runsでinvalid warp相当の失敗は出ていない。warp fixtureでもWARP_EXIT_ACCEPTEDは1 turnで完了。"
P2SRS-008,Q8,PERSISTENCE,NO_CHANGE,"再訪時の利用済み状態保持は成立している。RESOURCE_CACHE再訪拒否はturn非消費で一貫している。","automated","experiments/galactic_exodus/srs/results/policy_runs.csv;experiments/galactic_exodus/srs/fixtures/revisit_resource_consumed_9x9.json","resource-cache-revisit","EXIT_GREEDY;EXPLORE_THEN_EXIT;OBJECT_GREEDY","TURN_ONLY","状態保持契約をspecとreference fixtureへそのまま渡せる。","decision logでは再訪契約を確定候補とし、表示面のみ別途整理する。","resource-cache-revisitは全policyでEXITED、fixtureではREJECTED_ALREADY_CONSUMEDかつsrs_turn=0。"
P2SRS-009,Q9,COST_MODE,NO_CHANGE,"TURN_ONLYはSHARED_FUELよりexit率が高く、object取得も維持できている。baselineはTURN_ONLY寄りでよい。","manual+automated","experiments/galactic_exodus/results/prototype_manual_sessions.csv;experiments/galactic_exodus/srs/results/policy_summary.json;experiments/galactic_exodus/srs/fixtures/shared_fuel_cost_9x9.json","normal-turn-only-first-visit;normal-shared-fuel-first-visit;base-station-first-visit","EXIT_GREEDY;EXPLORE_THEN_EXIT;OBJECT_GREEDY","TURN_ONLY;SHARED_FUEL","LRS燃料共有を正式採用しない判断を後押しする。","#1163ではTURN_ONLYをDECIDED候補、SHARED_FUELをPHASE_LATERまたは棄却候補として扱う。","TURN_ONLY exit_rate=0.666667、SHARED_FUEL exit_rate=0.5。manualでもshared fuel的な強い悪循環支持は確認できない。"
P2SRS-010,Q10,TEMPO,BLOCKER,"9x9単体のp90 SRS turnは17で破綻していないが、『毎回SRS必須』の可否を決めるにはmulti-sector sequenceと11x11比較が不足している。","automated","experiments/galactic_exodus/srs/results/policy_summary.json;experiments/galactic_exodus/srs/phase2_questions.csv","normal-turn-only-first-visit;base-station-first-visit;resource-cache-first-visit;salvage-placeholder-first-visit","EXPLORE_THEN_EXIT","TURN_ONLY;SHARED_FUEL","LRSテンポ設計とskip条件の有無に直結する。","Phase 2E decisionでは9x9 baseline許容を暫定材料として残し、省略条件はfollow-up評価まで保留する。","現状の24 runは単一sector完結caseのみ。combined_lrs_srs_turnは未測定。"
