case_id,policy,sector_type,sector_seed,entry_edge,selected_exit_edge,cost_mode,outcome,srs_turn_count,command_count,final_fuel,max_fuel,objects_discovered,objects_acquired,station_used,resource_used,salvage_acquired,blocked_edge_attempt_count,observation_5x5_count,observation_3x3_count
base-station-first-visit,EXIT_GREEDY,BASE,2001,S,E,SHARED_FUEL,EXITED,9,9,0,9,1,0,0,0,0,0,8,0
base-station-first-visit,EXPLORE_THEN_EXIT,BASE,2001,S,E,SHARED_FUEL,EXITED,9,9,0,9,1,0,0,0,0,0,8,0
base-station-first-visit,OBJECT_GREEDY,BASE,2001,S,E,SHARED_FUEL,EXITED,18,18,1,9,1,1,1,0,0,0,16,0
nebula-local-3x3-first-visit,EXIT_GREEDY,NEBULA,5001,S,N,TURN_ONLY,ABORTED_NO_POLICY_ACTION,0,0,0,0,0,0,0,0,0,0,0,0
nebula-local-3x3-first-visit,EXPLORE_THEN_EXIT,NEBULA,5001,S,N,TURN_ONLY,EXITED,17,17,0,0,0,0,0,0,0,0,15,1
nebula-local-3x3-first-visit,OBJECT_GREEDY,NEBULA,5001,S,N,TURN_ONLY,ABORTED_NO_POLICY_ACTION,0,0,0,0,0,0,0,0,0,0,0,0
normal-shared-fuel-first-visit,EXIT_GREEDY,NORMAL,1002,S,E,SHARED_FUEL,ABORTED_NO_POLICY_ACTION,0,0,6,9,0,0,0,0,0,0,0,0
normal-shared-fuel-first-visit,EXPLORE_THEN_EXIT,NORMAL,1002,S,E,SHARED_FUEL,ABORTED_NO_POLICY_ACTION,12,12,0,9,1,0,0,0,0,0,12,0
normal-shared-fuel-first-visit,OBJECT_GREEDY,NORMAL,1002,S,E,SHARED_FUEL,ABORTED_NO_POLICY_ACTION,0,0,6,9,0,0,0,0,0,0,0,0
normal-turn-only-first-visit,EXIT_GREEDY,NORMAL,1001,S,N,TURN_ONLY,ABORTED_NO_POLICY_ACTION,0,0,0,0,1,0,0,0,0,0,0,0
normal-turn-only-first-visit,EXPLORE_THEN_EXIT,NORMAL,1001,S,N,TURN_ONLY,EXITED,17,17,0,0,1,0,0,0,0,0,16,0
normal-turn-only-first-visit,OBJECT_GREEDY,NORMAL,1001,S,N,TURN_ONLY,ABORTED_NO_POLICY_ACTION,3,3,0,0,1,1,0,0,1,0,2,0
normal-turn-only-revisit,EXIT_GREEDY,NORMAL,1003,S,W,TURN_ONLY,ABORTED_NO_POLICY_ACTION,0,0,0,0,0,0,0,0,0,0,0,0
normal-turn-only-revisit,EXPLORE_THEN_EXIT,NORMAL,1003,S,W,TURN_ONLY,EXITED,17,17,0,0,0,0,0,0,0,0,16,0
normal-turn-only-revisit,OBJECT_GREEDY,NORMAL,1003,S,W,TURN_ONLY,ABORTED_NO_POLICY_ACTION,0,0,0,0,0,0,0,0,0,0,0,0
resource-cache-first-visit,EXIT_GREEDY,RESOURCE,3001,S,N,TURN_ONLY,EXITED,9,9,2,9,1,0,0,0,0,0,8,0
resource-cache-first-visit,EXPLORE_THEN_EXIT,RESOURCE,3001,S,N,TURN_ONLY,EXITED,9,9,2,9,1,0,0,0,0,0,8,0
resource-cache-first-visit,OBJECT_GREEDY,RESOURCE,3001,S,N,TURN_ONLY,EXITED,14,14,7,9,1,1,0,1,0,0,12,0
resource-cache-revisit,EXIT_GREEDY,RESOURCE,3002,S,W,TURN_ONLY,EXITED,9,9,2,9,1,1,0,1,0,0,8,0
resource-cache-revisit,EXPLORE_THEN_EXIT,RESOURCE,3002,S,W,TURN_ONLY,EXITED,9,9,2,9,1,1,0,1,0,0,8,0
resource-cache-revisit,OBJECT_GREEDY,RESOURCE,3002,S,W,TURN_ONLY,EXITED,9,9,2,9,1,1,0,1,0,0,8,0
salvage-placeholder-first-visit,EXIT_GREEDY,RIFT,4001,S,E,TURN_ONLY,EXITED,9,9,1,9,1,0,0,0,0,0,8,0
salvage-placeholder-first-visit,EXPLORE_THEN_EXIT,RIFT,4001,S,E,TURN_ONLY,EXITED,9,9,1,9,1,0,0,0,0,0,8,0
salvage-placeholder-first-visit,OBJECT_GREEDY,RIFT,4001,S,E,TURN_ONLY,EXITED,10,10,1,9,1,1,0,0,1,0,8,0
